trade_date,close,pct_chg,amount,adv_ratio,market_amount,ma20,ma60,return_20,volatility_20,amount_z20,next_5d_return,regime,ai_timing_read
20240819,3356.9677,0.3388,143421671.337,0.3581865867366055,573433043.1940014,3369.4438500000006,3467.238195,-0.04493899713191596,0.008740782055908895,-1.1481856200115856,-0.009754219559514943,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240820,3332.7034,-0.7228,137910585.092,0.1253043641131298,561434759.9479992,3364.085125,3462.1881200000003,-0.03115648378100866,0.00761532760830401,-1.1564496920367546,-0.008212431985396562,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240821,3321.635,-0.3321,130005992.563,0.3462546816479401,512852263.20000017,3359.2585599999998,3457.39583,-0.02824066810324577,0.007546035530770857,-1.165747866390104,-0.010578946813843193,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240822,3313.1357,-0.2559,147702791.561,0.1455056179775281,552234961.7329986,3354.9517650000003,3452.3893866666667,-0.025339516854140265,0.007489643840196148,-1.168959106813381,-0.01070119162339167,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240823,3327.1905,0.4242,132680886.5,0.3535031847133758,513001118.2829996,3350.8466349999994,3447.9373600000004,-0.024082001045905854,0.007533335115780442,-1.1766109722922946,-0.0017306493271125323,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240826,3324.2231,-0.0892,139070603.958,0.7196629213483146,529117319.65099984,3347.52069,3443.675666666667,-0.019617800469631685,0.007466639532261955,-1.181393103456312,-0.017812312296367927,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20240827,3305.3338,-0.5682,129755962.864,0.19722794530811014,514154353.3009995,3344.318275,3438.9520916666665,-0.01900891561096618,0.00744467086181722,-1.188410172805135,-0.009652761848137681,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240828,3286.4956,-0.5699,135982310.965,0.6401947930324031,499112653.6549999,3336.5388350000003,3433.4658283333333,-0.045201913119852555,0.005290726862472656,-1.2204043989510243,-0.010445989947468703,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20240829,3277.6812,-0.2682,174340106.393,0.7825435474808017,610165877.4279991,3329.459565,3428.180621666667,-0.041408119507265084,0.005193339699396436,-1.2342240250098224,-0.006078504523258754,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20240830,3321.4323,1.3348,268376041.211,0.8765686458138228,880290520.4460001,3326.3115850000004,3423.66707,-0.01860292834290267,0.005883689589599313,-1.2222127948696933,-0.027122816864278754,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20240902,3265.011,-1.6987,194409996.348,0.154206483042908,708473659.564001,3322.39611,3418.5153483333333,-0.023422672160805402,0.00644369593806076,-1.228902079323161,-0.022070185980996748,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240903,3273.4282,0.2578,155089488.535,0.7351067815661296,582802252.3650002,3318.9185750000006,3414.024533333333,-0.020805007174888313,0.006494622780908597,-1.2347167398360148,-0.023728334716490718,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20240904,3252.1649,-0.6496,140070063.077,0.24203821656050956,561731228.2330006,3314.45237,3409.158573333333,-0.02673182524317741,0.006605888872595048,-1.237346259032487,-0.02030493595204852,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240905,3257.7578,0.172,134618198.894,0.7396028475084301,537039537.5669994,3310.193415,3404.685693333333,-0.02548031941613982,0.006630212132443311,-1.2440798458294702,-0.026178465446387578,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20240906,3231.3457,-0.8107,121541545.906,0.10097414762083178,544947412.8190023,3305.1793300000004,3399.515903333333,-0.030099914534260308,0.006791695692930254,-1.2440798458294702,-0.02231228308379385,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240909,3192.9516,-1.1882,146516054.461,0.36450524737631185,520573733.44200104,3298.533685,3393.79512,-0.03996341402363213,0.007177776141079127,-1.24407884133399,-0.0068718235503475444,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240910,3195.7552,0.0878,133610476.132,0.6229385307346327,529544982.5819974,3291.60193,3387.964536666667,-0.041577346239281,0.007130963759828022,-1.2402125411084672,8.777268046067377e-05,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20240911,3186.1299,-0.3012,141513837.135,0.300561797752809,501242405.9839997,3285.44648,3382.2542183333335,-0.03720160548094609,0.007019943098823353,-1.238585633162425,0.004682734373133934,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
20240912,3172.4747,-0.4286,136387244.637,0.3544943820224719,517434688.4829991,3276.972565,3376.7407683333336,-0.05071235292656717,0.006464077610296571,-1.2440798458294702,0.012699612702979035,风险收缩,趋势与宽度同步走弱，适合降低仓位或提高防御过滤
